"time","values"
1995-01-01,184973.3
1996-01-01,207091.4
1997-01-01,235220.3
1998-01-01,259589.3
1999-01-01,277229.3
2000-01-01,321707
2001-01-01,326774.1
2002-01-01,335236.9
2003-01-01,315133.2
2004-01-01,334099.5
2005-01-01,352114.7
2006-01-01,378900.7
2007-01-01,404334.1
2008-01-01,348661.3
2009-01-01,279302.8
2010-01-01,299130.4
2011-01-01,298314.3
2012-01-01,331722.7
2013-01-01,334503
2014-01-01,384295.1
2015-01-01,455757.5
2016-01-01,431027
2017-01-01,424712.8
2018-01-01,430931
2019-01-01,455139.7
