"time","values"
1995-01-01,48743.8
1995-04-01,42555.5
1995-07-01,45597.3
1995-10-01,48095.7
1996-01-01,51903.7
1996-04-01,49738.2
1996-07-01,50711.8
1996-10-01,54893.5
1997-01-01,56317.8
1997-04-01,54444.9
1997-07-01,60002.7
1997-10-01,64600.2
1998-01-01,68903.9
1998-04-01,62728.8
1998-07-01,63115.8
1998-10-01,65022.3
1999-01-01,67904.3
1999-04-01,65915.7
1999-07-01,69822.3
1999-10-01,73698.8
2000-01-01,81166
2000-04-01,80468.6
2000-07-01,75593.1
2000-10-01,84590.1
2001-01-01,82002.8
2001-04-01,81444.4
2001-07-01,81643.5
2001-10-01,81702.4
2002-01-01,84116.1
2002-04-01,79545.9
2002-07-01,82465.8
2002-10-01,89151.2
2003-01-01,85821.6
2003-04-01,73569.5
2003-07-01,75998.4
2003-10-01,80091.2
2004-01-01,86876.9
2004-04-01,80564.9
2004-07-01,83093.3
2004-10-01,83564.2
2005-01-01,86990
2005-04-01,85130.3
2005-07-01,88170.1
2005-10-01,91789.2
2006-01-01,94669.6
2006-04-01,87868.2
2006-07-01,96400.3
2006-10-01,100093.6
2007-01-01,105084.8
2007-04-01,97337.9
2007-07-01,98388.3
2007-10-01,103489.6
2008-01-01,96314.3
2008-04-01,85105.8
2008-07-01,85434.7
2008-10-01,82618.9
2009-01-01,74419.6
2009-04-01,65674.8
2009-07-01,70843.6
2009-10-01,68240.4
2010-01-01,74166.3
2010-04-01,68685.7
2010-07-01,77365.1
2010-10-01,78865.3
2011-01-01,78311.4
2011-04-01,67036.7
2011-07-01,73617.8
2011-10-01,79614.4
2012-01-01,84307.6
2012-04-01,76750
2012-07-01,82159.9
2012-10-01,88472.9
2013-01-01,82000
2013-04-01,78944.5
2013-07-01,84006.4
2013-10-01,89630.6
2014-01-01,94913.5
2014-04-01,89623.3
2014-07-01,96672.9
2014-10-01,103227.7
2015-01-01,112723.3
2015-04-01,109825.9
2015-07-01,112578.2
2015-10-01,120583.6
2016-01-01,114184.1
2016-04-01,108486.5
2016-07-01,104579.1
2016-10-01,104748.7
2017-01-01,108554.9
2017-04-01,103791.6
2017-07-01,102955
2017-10-01,109496.1
2018-01-01,106711.8
2018-04-01,101282.9
2018-07-01,108013.5
2018-10-01,114876.2
2019-01-01,118960.2
2019-04-01,106982.4
2019-07-01,112090.8
2019-10-01,117350.5
