"time","values"
1995-01-01,25814.34
1996-01-01,26056.25
1997-01-01,26522.79
1998-01-01,26793.53
1999-01-01,27167.08
2000-01-01,27483.29
2001-01-01,27711.39
2002-01-01,27943.9
2003-01-01,28223.07
2004-01-01,28533.45
2005-01-01,28853.15
2006-01-01,29140.45
2007-01-01,29378.75
2008-01-01,29627.56
2009-01-01,29154.26
2010-01-01,29226.87
2011-01-01,29374.49
2012-01-01,29694.32
2013-01-01,30041.77
2014-01-01,30752.52
2015-01-01,31285.04
2016-01-01,31745.33
2017-01-01,32060.17
2018-01-01,32442.97
2019-01-01,32794.59
