"time","values"
1995-01-01,25517.14
1995-04-01,25711.24
1995-07-01,25997.86
1995-10-01,26031.12
1996-01-01,25826.32
1996-04-01,25945.16
1996-07-01,26200.02
1996-10-01,26253.5
1997-01-01,26244.69
1997-04-01,26444.24
1997-07-01,26707.38
1997-10-01,26694.84
1998-01-01,26546.32
1998-04-01,26641.9
1998-07-01,26968.58
1998-10-01,27017.32
1999-01-01,26908.9
1999-04-01,27023.09
1999-07-01,27351.15
1999-10-01,27385.18
2000-01-01,27238.59
2000-04-01,27399.08
2000-07-01,27684.75
2000-10-01,27610.75
2001-01-01,27504.98
2001-04-01,27642.63
2001-07-01,27837.73
2001-10-01,27860.23
2002-01-01,27688.45
2002-04-01,27872.76
2002-07-01,28050.5
2002-10-01,28163.9
2003-01-01,28001.9
2003-04-01,28166.34
2003-07-01,28366.09
2003-10-01,28357.96
2004-01-01,28371.29
2004-04-01,28407.11
2004-07-01,28627.03
2004-10-01,28728.38
2005-01-01,28704.68
2005-04-01,28735.01
2005-07-01,29035.31
2005-10-01,28937.6
2006-01-01,28965.6
2006-04-01,29031.51
2006-07-01,29288.7
2006-10-01,29276
2007-01-01,29108.35
2007-04-01,29241.89
2007-07-01,29524.7
2007-10-01,29640.04
2008-01-01,29595.72
2008-04-01,29637.06
2008-07-01,29684.88
2008-10-01,29592.6
2009-01-01,29276.71
2009-04-01,29003.29
2009-07-01,29170.24
2009-10-01,29166.81
2010-01-01,28923.54
2010-04-01,29109.71
2010-07-01,29483.8
2010-10-01,29390.42
2011-01-01,29349.88
2011-04-01,29366.97
2011-07-01,29376
2011-10-01,29405.11
2012-01-01,29365.3
2012-04-01,29586.8
2012-07-01,29850.82
2012-10-01,29974.38
2013-01-01,29749.65
2013-04-01,29860.62
2013-07-01,30194.32
2013-10-01,30362.49
2014-01-01,30445.71
2014-04-01,30627.95
2014-07-01,30918.23
2014-10-01,31018.18
2015-01-01,31074.25
2015-04-01,31034.99
2015-07-01,31416.38
2015-10-01,31614.52
2016-01-01,31498.98
2016-04-01,31672.72
2016-07-01,31890.05
2016-10-01,31919.55
2017-01-01,31877.58
2017-04-01,31995.76
2017-07-01,32137.77
2017-10-01,32229.58
2018-01-01,32277.46
2018-04-01,32321.18
2018-07-01,32502.7
2018-10-01,32670.53
2019-01-01,32641.06
2019-04-01,32751.67
2019-07-01,32802.46
2019-10-01,32983.16
