"time","values"
1995-01-01,1025809.9
1996-01-01,1114850.1
1997-01-01,1374765.3
1998-01-01,1474279.7
1999-01-01,1578395.1
2000-01-01,1798090.2
2001-01-01,1830567.5
2002-01-01,1888699.6
2003-01-01,1815326.8
2004-01-01,1941265.1
2005-01-01,2037200.9
2006-01-01,2157333.5
2007-01-01,2259235.2
2008-01-01,1995854.5
2009-01-01,1738066.5
2010-01-01,1872175.5
2011-01-01,1912869.3
2012-01-01,2111028.9
2013-01-01,2096338
2014-01-01,2311080.2
2015-01-01,2644716.5
2016-01-01,2434119.2
2017-01-01,2359789.9
2018-01-01,2420897.2
2019-01-01,2526615.2
