"time","values"
1995-01-01,257589.8
1995-04-01,248722.5
1995-07-01,255889.4
1995-10-01,263308.8
1996-01-01,262343.7
1996-04-01,270422.9
1996-07-01,277865.2
1996-10-01,306097.3
1997-01-01,323587.7
1997-04-01,335529.5
1997-07-01,359287.4
1997-10-01,357083.8
1998-01-01,370127.5
1998-04-01,367498.1
1998-07-01,370068.2
1998-10-01,367371.4
1999-01-01,374308
1999-04-01,386008.8
1999-07-01,398874.7
1999-10-01,420414.3
2000-01-01,440537.4
2000-04-01,443227.7
2000-07-01,449471.8
2000-10-01,465346.6
2001-01-01,446002.2
2001-04-01,456912
2001-07-01,462239.3
2001-10-01,465791.6
2002-01-01,473216.6
2002-04-01,465462.3
2002-07-01,471230.7
2002-10-01,479219
2003-01-01,463144.2
2003-04-01,438480
2003-07-01,451962.5
2003-10-01,462377.2
2004-01-01,477684
2004-04-01,486177.7
2004-07-01,492308.4
2004-10-01,485542.5
2005-01-01,492967.3
2005-04-01,507010.4
2005-07-01,509774.1
2005-10-01,527485.4
2006-01-01,534073.6
2006-04-01,522341.4
2006-07-01,543998.7
2006-10-01,557329.8
2007-01-01,572200.4
2007-04-01,555328.5
2007-07-01,571138.7
2007-10-01,560903.9
2008-01-01,533889.9
2008-04-01,497713.3
2008-07-01,496837.9
2008-10-01,471345.7
2009-01-01,426623.6
2009-04-01,431710.3
2009-07-01,445919.6
2009-10-01,434046.2
2010-01-01,449130.2
2010-04-01,465515.8
2010-07-01,482029.9
2010-10-01,475918
2011-01-01,488607
2011-04-01,462012.6
2011-07-01,469546.5
2011-10-01,493459.5
2012-01-01,511938
2012-04-01,517205.4
2012-07-01,540630.2
2012-10-01,542131.5
2013-01-01,516480.8
2013-04-01,515848.4
2013-07-01,519917.4
2013-10-01,544412.1
2014-01-01,561699.3
2014-04-01,566315.6
2014-07-01,583906.1
2014-10-01,599559
2015-01-01,640119.2
2015-04-01,661665.6
2015-07-01,665909.2
2015-10-01,677282.1
2016-01-01,639943.1
2016-04-01,630990.9
2016-07-01,581709.5
2016-10-01,587945.9
2017-01-01,598730.4
2017-04-01,593311
2017-07-01,572327.6
2017-10-01,596243.7
2018-01-01,598489.9
2018-04-01,604984.2
2018-07-01,599328.8
2018-10-01,618302.6
2019-01-01,631105.7
2019-04-01,623637.1
2019-07-01,612678.3
2019-10-01,660925
