"time","values"
1995-01-01,61182.5
1995-04-01,65425.1
1995-07-01,67550.7
1995-10-01,64991.5
1996-01-01,67560.8
1996-04-01,73200.3
1996-07-01,73033.2
1996-10-01,76162.7
1997-01-01,78144.4
1997-04-01,86986.3
1997-07-01,90976.5
1997-10-01,89496.8
1998-01-01,90077.8
1998-04-01,93594.3
1998-07-01,93868.4
1998-10-01,88754.1
1999-01-01,90200.8
1999-04-01,98397.8
1999-07-01,104964
1999-10-01,107416.1
2000-01-01,111243.1
2000-04-01,119116.9
2000-07-01,125910.7
2000-10-01,129102.7
2001-01-01,123517.2
2001-04-01,130164.2
2001-07-01,127573.5
2001-10-01,121742.6
2002-01-01,122893.7
2002-04-01,130943.6
2002-07-01,129827
2002-10-01,124682.8
2003-01-01,118485.4
2003-04-01,115988.5
2003-07-01,121523.3
2003-10-01,118992.7
2004-01-01,119461.1
2004-04-01,128906.8
2004-07-01,134276.1
2004-10-01,129218.6
2005-01-01,125515.4
2005-04-01,139470.3
2005-07-01,147622.3
2005-10-01,147751.3
2006-01-01,161234.2
2006-04-01,168239.8
2006-07-01,155510
2006-10-01,149053.7
2007-01-01,150413.1
2007-04-01,153450.2
2007-07-01,161975.6
2007-10-01,153328.5
2008-01-01,146542.8
2008-04-01,149918
2008-07-01,153499.2
2008-10-01,134309.4
2009-01-01,116117.2
2009-04-01,120357.7
2009-07-01,127371.2
2009-10-01,123012.1
2010-01-01,125769.5
2010-04-01,140934.3
2010-07-01,151129
2010-10-01,147961.5
2011-01-01,146747.7
2011-04-01,146559.6
2011-07-01,156643.1
2011-10-01,155821.4
2012-01-01,158903.7
2012-04-01,164593
2012-07-01,172328.3
2012-10-01,163716.9
2013-01-01,155224.4
2013-04-01,162835.1
2013-07-01,168313.6
2013-10-01,169318.7
2014-01-01,160759.5
2014-04-01,166822.6
2014-07-01,178937.5
2014-10-01,181495.6
2015-01-01,185049
2015-04-01,189624.9
2015-07-01,194486.7
2015-10-01,190900.7
2016-01-01,177965.1
2016-04-01,182467.8
2016-07-01,190067.4
2016-10-01,180874
2017-01-01,183952.8
2017-04-01,186661.6
2017-07-01,188745.7
2017-10-01,185221.6
2018-01-01,184262.5
2018-04-01,190502.9
2018-07-01,198802.1
2018-10-01,203011.3
2019-01-01,214231.4
2019-04-01,194544.9
2019-07-01,207435
2019-10-01,200420.5
